Object ID,State GNIS Code,fips,State FIPS Postal Code,state,Area of Land (Square Meters),Area of Water (Square Meters),Total Civilian Noninstitutionalized Population,Total Civilian Noninstitutionalized Population - Margin of Error,Male Civilian Noninstitutionalized Population,Male Civilian Noninstitutionalized Population - Margin of Error,Male Population under 5 years,Male Population under 5 years - Margin of Error,Male Population under 5 years with a disability,Male Population under 5 years with a disability - Margin of Error,Male Population under 5 years with no disability,Male Population under 5 years with no disability - Margin of Error,Male Population 5 to 17 years,Male Population 5 to 17 years - Margin of Error,Male Population 5 to 17 years with a disability,Male Population 5 to 17 years with a disability - Margin of Error,Male Population 5 to 17 years with no disability,Male Population 5 to 17 years with no disability - Margin of Error,Male Population 18 to 34 years,Male Population 18 to 34 years - Margin of Error,Male Population 18 to 34 years with a disability,Male Population 18 to 34 years with a disability - Margin of Error,Male Population 18 to 34 years with no disability,Male Population 18 to 34 years with no disability - Margin of Error,Male Population 35 to 64 years,Male Population 35 to 64 years - Margin of Error,Male Population 35 to 64 years with a disability,Male Population 35 to 64 years with a disability - Margin of Error,Male Population 35 to 64 years with no disability,Male Population 35 to 64 years with no disability - Margin of Error,Male Population 65 to 74 years,Male Population 65 to 74 years - Margin of Error,Male Population 65 to 74 years with a disability,Male Population 65 to 74 years with a disability - Margin of Error,Male Population 65 to 74 years with no disability,Male Population 65 to 74 years with no disability - Margin of Error,Male Population 75 years and over,Male Population 75 years and over - Margin of Error,Male Population 75 years and over with a disability,Male Population 75 years and over with a disability - Margin of Error,Male Population 75 years and over with no disability,Male Population 75 years and over with no disability - Margin of Error,Female Civilian Noninstitutionalized Population,Female Civilian Noninstitutionalized Population - Margin of Error,Female Population under 5 years,Female Population under 5 years - Margin of Error,Female Population under 5 years with a disability,Female Population under 5 years with a disability - Margin of Error,Female Population under 5 years with no disability,Female Population under 5 years with no disability - Margin of Error,Female Population 5 to 17 years,Female Population 5 to 17 years - Margin of Error,Female Population 5 to 17 years with a disability,Female Population 5 to 17 years with a disability - Margin of Error,Female Population 5 to 17 years with no disability,Female Population 5 to 17 years with no disability - Margin of Error,Female Population 18 to 34 years,Female Population 18 to 34 years - Margin of Error,Female Population 18 to 34 years with a disability,Female Population 18 to 34 years with a disability - Margin of Error,Female Population 18 to 34 years with no disability,Female Population 18 to 34 years with no disability - Margin of Error,Female Population 35 to 64 years,Female Population 35 to 64 years - Margin of Error,Female Population 35 to 64 years with a disability,Female Population 35 to 64 years with a disability - Margin of Error,Female Population 35 to 64 years with no disability,Female Population 35 to 64 years with no disability - Margin of Error,Female Population 65 to 74 years,Female Population 65 to 74 years - Margin of Error,Female Population 65 to 74 years with a disability,Female Population 65 to 74 years with a disability - Margin of Error,Female Population 65 to 74 years with no disability,Female Population 65 to 74 years with no disability - Margin of Error,Female Population 75 years and over,Female Population 75 years and over - Margin of Error,Female Population 75 years and over with a disability,Female Population 75 years and over with a disability - Margin of Error,Female Population 75 years and over years with no disability,Female Population 75 years and over years with no disability - Margin of Error,Male Population with a disability,Male Population with a disability - Margin of Error,Percent of Male Population with a disability,Percent of Male Population with a disability - Margin of Error,Female Population with a disability,Female Population with a disability - Margin of Error,Percent of Female Population with a disability,Percent of Female Population with a disability - Margin of Error,Elderly (65+ years) Population with a disability,Elderly (65+ years) Population with a disability - Margin of Error,Percent of Elderly (65+ years) Population with a disability,Percent of Elderly (65+ years) Population with a disability - Margin of Error,Elderly (65+ years) Population,Elderly (65+ years) Population - Margin of Error,Population with a Disability,Population with a Disability - Margin of Error,Percent of Population with a Disability,Percent of Population with a Disability - Margin of Error,x,y
1,01779775,01,AL,Alabama,131174048583,4593327154,4785040,733,2299032,1480,149151,618,1001,270,148150,659,410301,939,31497,1286,378804,1511,523460,1215,44758,1564,478702,1941,882342,1248,159431,2910,722911,3192,211057,617,71674,1512,139383,1418,122721,502,63744,1141,58977,1088,2486008,1340,142974,606,788,242,142186,631,394646,757,18707,1119,375939,1437,548511,847,40210,1569,508301,1833,969769,877,172070,2520,797699,2551,246729,522,74731,1388,171998,1310,183379,616,102007,1523,81372,1498,372105,4029,16.2,0.174937658934535,408513,3791,16.4,0.152236023184132,312156,2799,40.9,0.361368314795501,763886,1133,780618,5532,16.3,0.11558330619346,-86.8274553990687,32.8145858024608
2,01785533,02,AK,Alaska,1478839695958,245481577452,714106,726,365014,774,27593,140,322,132,27271,186,67843,309,3996,522,63847,629,90583,628,6620,545,83963,843,140468,573,19864,857,120604,1087,27405,216,9241,502,18164,525,11122,176,6276,350,4846,316,349092,562,26627,142,233,97,26394,167,63622,310,2177,261,61445,348,86015,418,5465,539,80550,669,134262,348,17070,859,117192,864,25590,269,7290,497,18300,528,12976,225,7341,357,5635,304,46319,1302,12.7,0.355682281713906,39576,1217,11.3,0.348140629420819,30148,865,39.1,1.09876700501775,77093,448,85895,1782,12,0.249242976262895,-152.764723385957,65.2098453987811
3,01779777,04,AZ,Arizona,294198551143,1027337603,6838270,799,3361961,1164,222876,226,2179,348,220697,415,608523,365,39421,1633,569102,1664,795959,1142,56679,2047,739280,2277,1205762,1006,156972,2162,1048790,2443,314123,401,86488,1511,227635,1565,214718,363,100348,1417,114370,1339,3476309,1089,213070,277,1141,271,211929,364,587150,346,22919,1191,564231,1247,778138,581,42746,1888,735392,1995,1280124,597,169489,2835,1110635,2929,355741,361,81510,1667,274231,1661,262086,403,125202,1643,136884,1624,442087,3993,13.1,0.118682676023319,443007,4310,12.7,0.123917786498031,393548,3126,34.3,0.271652678386069,1146668,765,885094,5875,12.9,0.0859002308866669,-111.666425768911,34.3358729622346
4,00068085,05,AR,Arkansas,134768872727,2962859592,2937135,410,1432567,1291,97623,421,1142,227,96481,445,262538,740,24336,1532,238202,1753,327259,929,28531,1302,298728,1632,533813,1071,102140,2038,431673,2293,130766,565,46567,1326,84199,1273,80568,505,43421,897,37147,852,1504568,1274,92679,487,839,244,91840,549,251007,653,13708,747,237299,1002,331856,780,25595,1165,306261,1254,568999,1042,112207,2200,456792,2241,149277,666,45125,1129,104152,1168,110750,610,62288,1064,48462,1040,246137,3288,17.2,0.228995189847091,259762,3037,17.3,0.201321869105978,197401,2229,41.9,0.461138242046401,471361,1179,505899,4476,17.2,0.152374435381106,-92.4374160236616,34.9172622202176
5,01779778,06,CA,California,403503931312,20463871877,38653948,1897,19066676,2460,1268788,524,9049,711,1259739,845,3355893,825,175660,3019,3180233,3110,4835958,2537,269509,3962,4566449,4579,7286325,1912,730309,5059,6556016,5579,1408372,920,339010,3493,1069362,3579,911340,853,436300,3202,475040,3070,19587272,2017,1211772,584,7198,568,1204574,788,3222917,700,103185,2706,3119732,2872,4709002,1359,208888,3697,4500114,3810,7543244,1325,763275,5771,6779969,5695,1624692,801,377007,3132,1247685,3351,1275645,1112,670295,3526,605350,3558,1959837,8565,10.3,0.0449017262413993,2129848,8767,10.9,0.0447446496259046,1822612,6686,34.9,0.127478743005062,5220049,1858,4089685,12256,10.6,0.0317027292329174,-119.270413662387,36.4025453954579
6,01779779,08,CO,Colorado,268422891711,1181621593,5439267,1264,2709916,1581,171155,446,1302,256,169853,549,472137,612,24600,1253,447537,1438,677202,1218,41725,1494,635477,1948,1057001,1124,112850,2462,944151,2321,215902,489,52769,1337,163133,1381,116519,417,56022,1016,60497,1045,2729351,1217,164044,440,870,196,163174,450,450521,672,14927,940,435594,1058,650689,769,33767,1235,616922,1452,1071095,875,111974,2460,959121,2624,236059,466,48382,1344,187677,1423,156943,631,76242,1460,80701,1331,289268,3571,10.7,0.131628064267697,286162,3527,10.5,0.129140266838692,233415,2600,32.2,0.355578382785263,725423,1014,575430,5019,10.6,0.0922407068047168,-105.547883098204,39.0268717810054
7,01779780,09,CT,Connecticut,12542497068,1815617571,3530088,480,1714250,805,94768,294,854,280,93914,364,289522,364,18063,932,271459,990,388619,687,23405,1149,365214,1183,694205,682,69146,1738,625059,1649,149947,356,30490,1031,119457,1100,97189,358,40948,963,56241,1014,1815838,699,90215,151,822,271,89393,314,277230,289,9802,732,267428,828,385041,425,19163,909,365878,984,743853,427,74432,1730,669421,1754,173390,357,33059,1107,140331,1142,146109,567,68867,1263,77242,1371,182906,2698,10.7,0.157306837861067,206145,2692,11.4,0.148186684978571,173364,2193,30.6,0.384361158513744,566635,839,389051,3811,11,0.107947247268677,-72.7249540238571,41.6222299198289
8,01779781,10,DE,Delaware,5045925646,1399985648,934743,400,448772,398,27813,124,195,119,27618,158,75018,155,4894,437,70124,460,101510,309,7199,689,94311,709,171322,305,20148,1016,151174,1144,45483,140,10500,527,34983,541,27626,211,11556,513,16070,554,485971,298,27041,95,290,139,26751,158,73145,150,3228,424,69917,455,105070,231,6484,537,98586,551,190715,207,23105,1058,167610,1059,53232,142,11468,504,41764,531,36768,206,16247,657,20521,686,54492,1501,12.1,0.334294879462146,60822,1514,12.5,0.311446679888381,49771,1108,30.5,0.676027717497098,163109,356,115314,2132,12.3,0.228022981997138,-75.5007168547689,38.9947623323715
9,01702382,11,DC,District of Columbia,158340391,18687198,674258,271,316869,356,22724,45,196,125,22528,140,38599,57,2775,400,35824,403,105944,260,6361,756,99583,772,117621,335,15188,765,102433,800,19786,202,4829,338,14957,356,12195,204,5385,352,6810,374,357389,301,21968,35,126,108,21842,114,38217,76,1911,390,36306,367,125653,137,6265,641,119388,648,124395,157,18456,854,105939,914,26257,105,7175,446,19082,455,20899,235,10945,484,9954,534,34734,1253,11,0.395239730254511,44878,1318,12.6,0.368634155587914,28334,819,35.8,1.02007314462365,79137,386,79612,1819,11.8,0.269736294047415,-77.0163132512105,38.904818087122
10,00294478,12,FL,Florida,138949136250,31361101223,20288268,1724,9838027,2650,570515,798,4791,634,565724,935,1541733,1192,110449,2885,1431284,3044,2153148,2057,144834,3549,2008314,3758,3767535,2045,470838,5699,3296697,5986,1031266,842,248543,2948,782723,3116,773830,768,342677,3203,431153,3171,10450241,2150,546712,854,2951,469,543761,976,1480696,907,62663,2427,1418033,2689,2157871,1349,109522,3004,2048349,3224,4073928,1224,491877,5169,3582051,5235,1197705,764,258415,3426,939290,3572,993329,998,473397,4116,519932,4000,1322132,8529,13.4,0.0866186022622556,1398825,8398,13.4,0.0803145825584552,1323032,6901,33.1,0.172118801968397,3996130,1697,2720957,11970,13.4,0.05898860718029,-81.9322487419347,28.6538478054924
11,01705317,13,GA,Georgia,149482048342,4422936154,10109427,1677,4861434,2263,335166,1031,2964,491,332202,1116,936774,1112,58719,2011,878055,2153,1138220,2001,74321,2231,1063899,3106,1874789,1775,250356,3900,1624433,4253,376738,855,107594,1706,269144,1773,199747,736,96705,1540,103042,1539,5247993,1895,320580,852,1955,431,318625,992,905441,1114,36970,1702,868471,2207,1203718,1298,67352,1848,1136366,2059,2072162,1472,274066,4402,1798096,4413,449009,894,118308,2265,330701,2176,297083,803,154876,1894,142207,1870,590659,5455,12.1,0.112067062839193,653527,5882,12.5,0.111990704982737,477483,3742,36.1,0.279333297530396,1322577,1648,1244186,8022,12.3,0.0793254110330443,-83.4512728588705,32.6731573337381
12,01779782,15,HI,Hawaii,16633990195,11777809026,1370508,893,671256,877,46480,96,249,84,46231,126,110685,156,4982,516,105703,532,147030,793,7458,686,139572,1141,257431,567,26693,916,230738,1140,66987,164,14924,634,52063,633,42643,244,21174,592,21469,613,699252,596,43891,106,284,151,43607,166,105198,135,3184,451,102014,482,151386,448,6719,707,144667,722,266843,342,23492,932,243351,952,71217,233,12887,675,58330,686,60717,273,31824,836,28893,820,75480,1528,11.2,0.227158407072249,78390,1658,11.2,0.236917904251581,80809,1381,33.5,0.568068605445198,241564,464,153870,2255,11.2,0.164374822859904,-155.521205886131,19.6020249913044
13,01779783,16,ID,Idaho,214049787659,2391722557,1666375,469,829636,986,57933,470,550,201,57383,516,165826,647,11254,898,154572,1124,186719,733,16575,1206,170144,1448,300879,1005,43075,1341,257804,1668,74433,335,22328,842,52105,883,43846,315,23913,774,19933,731,836739,870,56214,463,366,147,55848,472,158428,621,7018,657,151410,837,183748,647,12875,860,170873,1011,306958,611,40579,1324,266379,1355,78013,371,16629,809,61384,827,53378,319,27103,711,26275,742,117695,2325,14.2,0.279735753409026,104570,2026,12.5,0.241781540896114,89973,1571,36,0.621732340524833,249670,671,222265,3084,13.3,0.185034310035609,-114.683878125244,44.467482733905
14,01779784,17,IL,Illinois,143780567633,6214824948,12643207,694,6178327,1583,397419,481,2674,400,394745,639,1092956,724,58295,1776,1034661,1849,1468078,1183,79069,1807,1389009,2169,2420017,1361,255586,2893,2164431,3074,493433,638,120786,1981,372647,2101,306424,831,138619,2026,167805,2152,6464880,1561,379504,431,2481,393,377023,600,1052970,582,34390,1286,1018580,1475,1470526,840,65140,1693,1405386,2015,2531754,923,271063,2951,2260691,3154,570853,655,128707,1949,442146,2048,459273,988,225405,2437,233868,2382,655029,4794,10.6,0.0775462574449246,727186,4808,11.2,0.0743214537323397,613517,4215,33.5,0.228499267906994,1829983,1582,1382215,6790,10.9,0.0537013757199911,-89.1992243931464,40.1053645021465
15,00448508,18,IN,Indiana,92789302676,1538002829,6538540,467,3207202,1339,214555,619,1400,245,213155,660,588381,732,44061,1735,544320,1853,747224,944,55415,1576,691809,1749,1232222,1162,180284,2878,1051938,3077,267073,561,76244,1259,190829,1378,157747,624,78145,1287,79602,1256,3331338,1301,203744,559,1239,225,202505,570,563862,865,27316,1144,536546,1458,745794,811,49878,1484,695916,1633,1282603,873,189563,3050,1093040,3277,302758,621,77586,1603,225172,1659,232577,730,118570,1332,114007,1326,435549,4133,13.6,0.128741432935565,464152,4148,13.9,0.12439558624942,350545,2754,36.5,0.282708291857884,960155,1274,899701,5856,13.8,0.0895558859582715,-86.2727907508566,39.9332337014215
16,01779785,19,IA,Iowa,144661267977,1084180812,3088842,257,1530174,1159,100506,464,773,203,99733,500,270504,668,18206,810,252298,1078,358767,945,22296,970,336471,1089,580503,1027,66320,1544,514183,1583,132180,454,32565,863,99615,917,87714,393,38954,825,48760,773,1558668,1144,96924,563,644,176,96280,584,259907,652,10500,806,249407,960,347450,698,18905,978,328545,1101,584176,626,66228,1584,517948,1746,143582,335,27721,881,115861,895,126629,517,55254,1025,71375,1066,179114,2334,11.7,0.152273779644061,179252,2444,11.5,0.156573196012924,154494,1803,31.5,0.363698172788227,490105,860,358366,3379,11.6,0.109389487761341,-93.5022097471626,42.0905515649658
17,00481813,20,KS,Kansas,211755344060,1344141205,2849329,726,1407001,1306,99290,421,1203,301,98087,520,265628,744,17865,986,247763,1165,331821,1008,23937,1210,307884,1544,521560,945,70331,1679,451229,1868,115447,436,32696,950,82751,1021,73255,405,37035,765,36220,827,1442328,1064,94886,433,898,228,93988,490,254252,713,10859,711,243393,1042,326275,641,21065,1022,305210,1138,536460,648,72234,1573,464226,1615,125943,349,29961,880,95982,961,104512,568,51011,849,53501,829,183067,2614,13,0.18539226789194,186028,2360,12.9,0.163347494444339,150703,1727,36,0.404818371380547,419157,894,369095,3522,13,0.123563975739086,-98.380978436543,38.500201327931
18,01779786,21,KY,Kentucky,102279490672,2375337755,4357195,636,2128638,1691,141232,567,1435,268,139797,636,376338,708,34362,1425,341976,1612,483422,1115,44546,1424,438876,1891,830656,1276,166474,2502,664182,2498,189729,468,66955,1310,122774,1283,107261,522,56553,1210,50708,1090,2228557,1660,133208,607,1413,290,131795,702,358953,845,19688,999,339265,1194,486051,1041,39296,1354,446755,1694,878434,987,175060,2371,703374,2500,216098,547,66358,1350,149740,1481,155813,550,86094,1353,69719,1310,370325,3684,17.4,0.172515709209082,387909,3491,17.4,0.156110959937493,275960,2614,41.3,0.385428298206141,668901,1046,758234,5075,17.4,0.11644631561043,-85.2821599133082,37.5343728740713
19,01629543,22,LA,Louisiana,111897594374,23753621895,4559274,768,2197612,1300,157354,567,1085,241,156269,580,405999,672,35661,1640,370338,1732,524168,1283,43216,1776,480952,2221,822182,1143,139208,2591,682974,2854,183434,608,57474,1287,125960,1335,104475,525,52783,970,51692,1128,2361662,1195,151984,604,1087,272,150897,671,391276,762,21432,1153,369844,1328,550797,827,37876,1653,512921,1836,899844,745,148725,2543,751119,2642,212792,520,63323,1515,149469,1668,154969,651,82642,1223,72327,1195,329427,3900,15,0.177243676702212,355085,3794,15,0.160469331279293,256222,2527,39.1,0.379188207320896,655670,1157,684512,5441,15,0.119312375322105,-92.7826889226491,31.3393935291076
20,01779787,23,ME,Maine,79887426037,11746549764,1317634,283,643383,778,33208,259,263,133,32945,265,97122,380,10061,769,87061,768,131359,436,13029,694,118330,829,267206,452,42954,1175,224252,1230,72691,248,19049,584,53642,589,41797,322,20332,513,21465,526,674251,736,31229,289,190,88,31039,298,92549,317,5128,476,87421,552,131236,352,11629,754,119607,762,282257,422,42414,1241,239843,1287,78426,275,16297,781,62129,735,58554,388,28545,729,30009,661,105688,1754,16.4,0.271896804297131,104203,1867,15.5,0.276385473069773,84223,1321,33.5,0.518656634833526,251468,626,209891,2562,15.9,0.19440932466813,-69.2227764588879,45.4025915694396
21,01714934,24,MD,Maryland,25151100280,6979966958,5907173,1089,2841214,1198,186839,344,952,226,185887,420,497815,387,32383,1443,465432,1520,655007,1089,41747,1360,613260,1714,1131560,981,115743,2073,1015817,2397,231062,358,49081,1329,181981,1276,138931,427,60405,1100,78526,1125,3065959,1027,179334,296,1177,282,178157,392,478525,406,18618,949,459907,952,677822,699,34329,1449,643493,1527,1248471,527,133391,2465,1115080,2530,275949,364,57910,1269,218039,1281,205858,555,99501,1602,106357,1632,300311,3355,10.6,0.117999191390476,344926,3651,11.3,0.119022184088982,266897,2675,31.3,0.312417239823939,851800,867,645237,4958,10.9,0.0839076979575815,-76.7715506628638,39.0398449722806
22,00606926,25,MA,Massachusetts,20205125364,7129925486,6756015,478,3269887,908,185470,222,1630,327,183840,387,517168,427,37144,1415,480024,1452,817500,776,51874,1613,765626,1660,1296793,781,137970,2413,1158823,2513,279010,446,62524,1482,216486,1539,173946,475,77718,1454,96228,1494,3486128,798,177211,211,1049,289,176162,336,496971,398,20725,1039,476246,1119,832785,374,46097,1499,786688,1512,1390496,512,153441,2632,1237055,2779,325416,359,66397,1261,259019,1366,263249,707,128862,1544,134387,1566,368860,3853,11.3,0.117791174853336,416571,3783,11.9,0.108481329795397,335501,2878,32.2,0.274472555410239,1041621,1026,785431,5400,11.6,0.0799245421702326,-71.7182362783715,42.3595787789504
