23,01779789,26,MI,Michigan,146600952990,103885855702,9847464,346,4823381,1041,293072,446,2550,334,290522,547,827653,574,65251,1742,762402,1867,1108214,984,85846,1850,1022368,2038,1887396,907,280373,3285,1607023,3276,440095,459,119802,1644,320293,1590,266951,586,126389,1575,140562,1555,5024083,1003,279235,406,1982,329,277253,564,792570,506,38330,1387,754240,1478,1096772,614,77373,1615,1019399,1606,1980428,694,299277,3313,1681151,3390,493605,495,116412,1738,377193,1711,381473,728,190055,1745,191418,1766,680211,4748,14.1,0.0983901101804354,723429,4656,14.4,0.0926290333413284,552658,3354,34.9,0.210459477108573,1582124,1153,1403640,6650,14.3,0.0675282196385139,-84.6218792735369,43.5099917497743
24,00662849,27,MN,Minnesota,206228939448,18945217189,5469389,357,2718477,1105,179870,380,1403,284,178467,478,479272,568,30186,1067,449086,1218,629888,745,39121,1304,590767,1385,1065488,799,111932,2263,953556,2312,224335,392,54656,1036,169679,1082,139624,491,64442,921,75182,852,2750912,1029,171865,366,1221,271,170644,438,458454,484,17108,825,441346,1015,615501,558,32797,1141,582704,1263,1069203,622,109057,1912,960146,1936,241802,300,44849,1157,196953,1184,194087,626,85912,1182,108175,1247,301740,3156,11.1,0.116006713914772,290944,2906,10.6,0.105563589193001,249859,2158,31.2,0.267313293508998,799848,936,592684,4290,10.8,0.0784333600656555,-94.310728750067,46.3849060350948
25,01779790,28,MS,Mississippi,121533519481,3926919758,2922647,753,1399224,1476,95968,700,723,200,95245,716,270336,845,19823,1087,250513,1347,321741,1320,27661,1483,294080,1841,521438,1241,100174,2149,421264,2415,120727,597,42836,1028,77891,1106,69014,546,36382,1017,32632,1096,1523423,1274,92596,766,475,190,92121,780,259002,848,12142,786,246860,1169,342980,773,23349,1072,319631,1233,582320,828,108906,2043,473414,2186,141102,516,44122,1060,96980,1146,105423,515,60127,1210,45296,1188,227599,3183,16.3,0.226835190177964,249121,2927,16.4,0.191645810796751,183467,2163,42.1,0.484558023870445,436266,1089,476720,4324,16.3,0.147888377868125,-89.6639862469001,32.7777294970023
26,01779791,29,MO,Missouri,178050802184,2489425460,5976738,701,2913804,1524,191177,601,1324,319,189853,668,515270,919,38608,1321,476662,1565,670111,1290,52907,1568,617204,1943,1118880,1197,177178,2480,941702,2768,257914,629,79085,1361,178829,1487,160452,495,78911,1188,81541,1223,3062934,1342,181723,576,1195,234,180528,633,492145,739,22656,1153,469489,1441,681381,1049,44991,1428,636390,1765,1182117,1141,184920,2643,997197,2875,295334,680,74623,1405,220711,1438,230234,720,114524,1578,115710,1509,428013,3704,14.7,0.126886671105136,442909,3857,14.5,0.125765527962314,347143,2780,36.8,0.290305951044737,943934,1273,870922,5348,14.6,0.0894639244986732,-92.487249009426,38.3980950254954
27,00767982,30,MT,Montana,376962738765,3869208832,1026586,313,514183,723,32041,451,472,158,31569,456,84416,372,5041,490,79375,569,115475,574,8885,766,106590,744,195948,618,28597,956,167351,1087,54566,263,16437,642,38129,672,31737,228,15503,516,16234,523,512403,674,29769,327,358,164,29411,350,80404,405,3325,411,77079,590,111063,430,6526,622,104537,708,198355,507,25054,852,173301,936,54159,245,11427,654,42732,687,38653,275,18010,539,20643,508,74935,1563,14.6,0.303285868179992,64700,1424,12.6,0.277409503005271,61377,1182,34.3,0.652744043551678,179115,507,139635,2114,13.6,0.205883506923142,-109.651355383648,47.0727679385086
28,01779792,31,NE,Nebraska,198956658395,1371829134,1875468,414,932067,905,67854,358,458,153,67396,412,174144,461,10730,741,163414,802,219764,636,14073,811,205691,926,346553,607,40457,1071,306096,1190,75307,318,20742,661,54565,720,48445,335,23575,606,24870,645,943401,810,63953,401,527,151,63426,426,165302,422,6250,576,159052,701,215353,514,11674,543,203679,794,348379,549,38856,941,309523,931,82070,279,17250,758,64820,749,68344,412,31816,848,36528,819,110035,1784,11.8,0.191059005251425,106373,1682,11.3,0.178028065994636,93383,1448,34.1,0.521367138023992,274166,679,216408,2452,11.5,0.130715885751313,-99.8188235655442,41.5432784559851
29,01779793,32,NV,Nevada,284329506470,2047206072,2887475,594,1439031,748,93316,211,1321,410,91995,459,250590,280,14799,810,235791,827,329473,599,22102,1261,307371,1465,560208,611,73102,1688,487106,1789,130959,282,37917,1155,93042,1133,74485,278,34783,923,39702,947,1448444,612,88995,245,1844,376,87151,408,240622,262,10153,722,230469,746,325739,434,19991,1041,305748,1182,564813,366,74351,1790,490462,1793,140557,276,34261,1055,106296,980,87718,277,43870,1002,43848,975,184024,2729,12.8,0.189524970781805,184470,2658,12.7,0.183428352459312,150831,2074,34.8,0.476099644506174,433719,557,368494,3810,12.8,0.131923074733614,-116.666840532159,39.413802164941
30,01779794,33,NH,New Hampshire,23189413166,1026675248,1326243,276,654437,634,32777,204,412,160,32365,220,101023,299,7690,610,93333,696,144594,453,10329,605,134265,733,275056,469,32236,1006,242820,1097,64706,287,16101,669,48605,672,36281,329,17156,658,19125,642,671806,563,31302,219,171,117,31131,242,97081,258,4438,389,92643,401,141194,286,9260,682,131934,762,283812,433,33141,1158,250671,1194,69324,307,14213,761,55111,783,49093,330,22497,778,26596,740,83924,1630,12.8,0.248759019714183,83720,1776,12.5,0.264155666120456,69967,1437,31.9,0.648564552372031,219404,628,167644,2411,12.6,0.181772689357822,-71.5761834052645,43.6962432015678
31,01779795,34,NJ,New Jersey,19047825980,3544860246,8776839,625,4265444,1030,266146,204,1746,290,264400,358,737115,360,41481,1553,695634,1504,949400,840,50481,1672,898919,1858,1736960,1003,158202,2544,1578758,2850,349075,413,72597,1481,276478,1554,226748,454,96182,1733,130566,1717,4511395,829,255538,230,1412,341,254126,431,710016,386,23741,1104,686275,1162,936197,454,38994,1282,897203,1360,1847803,559,174401,2296,1673402,2454,414261,435,86136,1459,328125,1542,347580,791,168308,1894,179272,2023,420689,4118,9.9,0.0965139105523468,492992,3737,10.9,0.0828103460049333,423223,3303,31.6,0.245568438119545,1337664,1092,913681,5561,10.4,0.0633556040884484,-74.7267741526774,39.6169036407543
32,00897535,35,NM,New Mexico,314196306401,728776523,2057526,691,1008154,1026,65489,351,793,239,64696,396,185730,640,11183,834,174547,971,236091,813,19026,976,217065,1264,367227,776,61880,1602,305347,1754,95018,298,29733,902,65285,895,58599,279,32724,799,25875,785,1049372,833,62868,344,391,145,62477,371,179025,603,6556,588,172469,934,231653,466,15442,888,216211,891,393151,656,62077,1734,331074,1896,106237,358,29397,955,76840,1024,76438,385,42163,921,34275,978,155339,2392,15.4,0.236746587423302,156026,2434,14.9,0.231647763481186,134017,1792,39.9,0.526993291665554,336292,666,311365,3413,15.1,0.165800952775486,-106.106409224733,34.4614491432654
33,01779796,36,NY,New York,122049149763,19246994695,19378618,874,9362892,1577,594981,459,3550,520,591431,699,1514995,653,97821,2325,1417174,2363,2310376,1220,131630,2756,2178746,2790,3665932,1376,388803,4523,3277129,4890,773617,641,169319,2486,604298,2372,502991,837,222604,2383,280387,2534,10015726,1436,568625,437,3780,450,564845,636,1454153,581,57090,1812,1397063,1906,2355322,737,112182,2665,2243140,2675,3940688,941,447179,4550,3493509,4491,923712,671,206801,2757,716911,2697,773226,1046,381953,2738,391273,2721,1013727,6752,10.8,0.0720914093885389,1208985,6811,12.1,0.0679810325309823,980677,5192,33,0.17366790397828,2973546,1630,2222712,9591,11.5,0.0494899898643122,-75.5013589390929,42.965330364791
34,01027616,37,NC,North Carolina,125923656064,13466071395,9952031,1743,4786233,2284,308596,788,2621,467,305975,938,859474,1100,59803,1918,799671,2272,1075970,1752,78822,2203,997148,2419,1870500,1687,266244,3457,1604256,3805,429598,864,123097,1982,306501,2130,242095,611,116571,1351,125524,1514,5165798,1829,294559,714,2140,374,292419,727,826353,901,35019,1342,791334,1627,1140945,1129,67507,1949,1073438,2220,2045227,1097,290261,3923,1754966,4186,502580,752,125321,1951,377259,1973,356134,846,183127,1984,173007,2046,647158,5143,13.5,0.107260125344005,703375,5373,13.6,0.103899252701401,548116,3674,35.8,0.237310607647649,1530407,1550,1350533,7438,13.6,0.0747007130097925,-79.3637118571318,35.5466450622037
35,01779797,38,ND,North Dakota,178707534813,4403267548,736241,426,376144,840,26850,261,187,125,26663,296,62288,514,3847,337,58441,597,103525,723,4989,490,98536,807,135506,623,15931,778,119575,884,28826,164,7279,382,21547,379,19149,176,9142,398,10007,382,360097,731,25970,305,127,69,25843,323,58299,470,1689,255,56610,518,91628,464,5376,619,86252,782,128303,430,12484,666,115819,710,29242,214,6059,438,23183,459,26655,232,12234,505,14421,501,41375,1131,11,0.299677624751365,37969,1159,10.5,0.321145193370646,34714,867,33.4,0.824849845103911,103872,397,79344,1619,10.8,0.219812390876699,-100.471113855255,47.4685693290347
36,01085497,39,OH,Ohio,105828882568,10268850702,11468700,587,5597255,1703,356158,582,2826,447,353332,705,980024,847,79389,2244,900635,2291,1271875,1122,98389,2480,1173486,2422,2184556,1483,311448,4093,1873108,4185,496616,681,130875,2004,365741,2233,308026,707,143385,1593,164641,1512,5871445,1640,339775,611,1816,326,337959,712,938572,822,47571,1289,891001,1574,1275682,986,86245,2222,1189437,2456,2297987,1241,342008,3935,1955979,4153,568293,678,135586,2336,432707,2383,451136,1227,221865,2122,229271,2083,766312,5890,13.7,0.105147674597822,835091,5670,14.2,0.0964873222276704,631711,4064,34.6,0.220417370259767,1824071,1711,1601403,8176,14,0.0712861016896398,-82.7881144032045,40.3081697476852
37,01102857,40,OK,Oklahoma,177662925723,3374587997,3837568,808,1882321,1176,135147,377,1434,271,133713,392,354319,498,26621,905,327698,1029,447715,1016,38073,1214,409642,1487,690270,897,125049,1795,565221,1965,157089,398,57755,924,99334,872,97781,471,54016,866,43765,908,1955247,939,128838,454,1449,236,127389,522,338262,494,17731,766,320531,935,447525,710,34442,1157,413083,1319,724582,676,129385,2076,595197,2080,179043,402,53629,998,125414,952,136997,538,73845,889,63152,905,302948,2682,16.1,0.142128427066369,310481,2842,15.9,0.14515229018683,239245,1841,41.9,0.315442657572563,570910,912,613429,3908,16,0.101779698003389,-97.5154977833938,35.5990615809058
38,01155107,41,OR,Oregon,248606993270,6192386935,4042073,372,1993496,929,118970,369,1192,344,117778,491,324695,673,23783,1221,300912,1435,464668,735,40169,1658,424499,1792,777845,727,111628,2176,666217,2203,194350,486,57442,1477,136908,1549,112968,377,57475,1018,55493,984,2048577,812,112957,427,897,234,112060,427,309814,554,14626,1035,295188,1122,458698,447,35081,1417,423617,1484,802242,585,114180,2141,688062,2147,214327,416,51128,1405,163199,1425,150539,490,76975,1154,73564,1196,291689,3509,14.6,0.175890302943175,292887,3320,14.3,0.16196460484618,243020,2554,36.2,0.376928001066451,672184,890,584576,4831,14.5,0.119510469620983,-120.552210322461,43.9693307831448
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,12587979,432,6129081,1320,363071,450,2578,349,360493,562,1000335,600,87084,2112,913251,2067,1405736,1112,104657,2334,1301079,2531,2417860,1211,325847,4122,2092013,4592,569837,669,144656,2151,425181,2056,372242,723,170200,1432,202042,1500,6458898,1313,346082,439,2363,425,343719,585,958120,583,49226,1481,908894,1560,1404017,706,94928,2070,1309089,2319,2542202,910,351936,3991,2190266,4101,650210,683,145921,2135,504289,2096,558267,991,272188,2642,286079,2582,835022,5805,13.6,0.0946669446606258,916562,5842,14.2,0.0904028513225959,732965,4268,34.1,0.196924258067399,2150556,1555,1751584,8236,13.9,0.0654257576231091,-77.7997846934395,40.8836410342814
40,01219835,44,RI,Rhode Island,2677779902,1323670487,1040879,291,504116,523,28137,187,280,139,27857,231,78672,280,6304,553,72368,657,125897,455,9806,876,116091,906,198934,377,25636,1080,173298,1094,44605,232,10789,537,33816,598,27871,254,12527,578,15344,560,536763,454,26450,184,128,77,26322,214,75261,203,3499,436,71762,474,127188,263,9339,704,117849,735,213202,345,30709,1151,182493,1164,50928,220,11365,615,39563,600,43734,376,21096,681,22638,660,65342,1697,13,0.336360176927115,76136,1691,14.2,0.31480809563613,55777,1210,33.4,0.715421231627399,167138,555,141478,2396,13.6,0.230158693309646,-71.5875066739124,41.6961554477739
41,01779799,45,SC,South Carolina,77864918488,5075218778,4858485,1014,2331404,1537,147614,565,1104,284,146510,611,408978,750,30888,1425,378090,1485,525146,1356,40182,1629,484964,1922,888527,1035,143981,3008,744546,3326,234215,495,69371,1605,164844,1655,126924,486,60801,1142,66123,1201,2527081,1297,142459,516,1427,326,141032,621,394580,657,17208,1022,377372,1119,549944,923,32878,1203,517066,1471,989682,700,154591,2713,835091,2913,271628,495,68039,1650,203589,1695,178788,502,92925,1240,85863,1300,346327,4206,14.9,0.180140308683285,367068,3771,14.5,0.149037213324266,291136,2853,35.9,0.348818437904973,811555,989,713395,5649,14.7,0.11623041970365,-80.8985136351716,33.916214884517
42,01785534,46,SD,South Dakota,196346981786,3382720225,846821,341,424905,749,30971,288,423,138,30548,319,77938,431,4770,460,73168,615,98368,637,7122,690,91246,976,157186,507,20046,805,137140,892,37607,209,10238,474,27369,475,22835,283,10463,418,12372,462,421916,658,29430,281,183,92,29247,283,73597,438,2201,269,71396,536,94293,509,6113,532,88180,682,154765,532,17102,690,137663,776,38078,228,7341,574,30737,604,31753,299,14543,526,17210,554,53062,1324,12.5,0.310820524544248,47483,1203,11.3,0.284587132778466,42585,1003,32.7,0.758999048238876,130273,515,100545,1789,11.9,0.211206594186629,-100.232226625261,44.4553415401531
43,01325873,47,TN,Tennessee,106802728188,2350123465,6547663,980,3170888,1710,206063,725,1904,325,204159,845,558900,752,41473,1456,517427,1536,723434,1291,58080,2275,665354,2587,1230695,1269,209382,3119,1021313,3405,288899,662,90450,1722,198449,1732,162897,592,82970,1438,79927,1445,3376775,1366,197495,771,1440,350,196055,827,536277,721,26245,1393,510032,1502,751383,1019,51949,1596,699434,1815,1326784,958,225757,3031,1101027,3248,329832,628,92910,1608,236922,1652,235004,714,127358,1418,107646,1493,484259,4708,15.3,0.148247159949835,525659,4289,15.6,0.126858479983649,393688,3103,38.7,0.301173599867439,1016632,1301,1009918,6369,15.4,0.0972439486349801,-86.3397866034863,35.8470257836399
44,01779801,48,TX,Texas,676653171537,19006305260,27417645,2145,13487341,2703,1022206,1042,8999,895,1013207,1430,2690352,1661,172942,3207,2517410,3636,3346253,2989,208796,4056,3137457,5034,4974891,2459,599659,5702,4375232,6055,921859,1022,276201,3129,645658,2983,531780,999,273104,2553,258676,2508,13930304,2206,976456,1026,6524,799,969932,1328,2593808,1493,108411,2711,2485397,3140,3331235,1921,175859,3451,3155376,4040,5229176,1664,634390,5230,4594786,5471,1054868,1120,287874,2947,766994,3093,744761,1376,400106,2917,344655,2892,1539701,8738,11.4,0.0647462675224208,1613164,8028,11.6,0.0576005695801713,1237285,5788,38,0.175909018990194,3253268,2278,3152865,11866,11.5,0.0432693471751781,-99.3717699000508,31.5724078615364
45,01455989,49,UT,Utah,212886221680,6998824394,3019579,505,1513623,934,129490,307,1047,296,128443,421,340919,566,19444,1200,321475,1318,395842,671,23738,997,372104,1163,500849,636,52490,1306,448359,1332,90182,310,22983,744,67199,779,56341,247,27003,830,29338,788,1505956,829,123358,368,752,213,122606,440,322420,438,10978,671,311442,773,388611,486,21302,996,367309,1067,501990,528,53828,1609,448162,1605,98749,345,21738,858,77011,873,70828,354,35604,910,35224,929,146705,2339,9.7,0.154414113008639,144202,2375,9.6,0.157619017373868,107328,1675,34,0.525501291620901,316100,634,290907,3333,9.6,0.110367865703619,-111.682412156266,39.3642277011554
46,01779802,50,VT,Vermont,23874175944,1030416650,618896,136,304575,442,15391,174,156,78,15235,202,45492,299,4316,431,41176,490,70259,361,6663,494,63596,479,122858,371,16984,687,105874,765,32709,190,8363,389,24346,431,17866,159,8291,321,9575,314,314321,424,14285,159,83,48,14202,167,42856,220,2359,328,40497,371,68395,258,5379,504,63016,524,129190,360,17319,781,111871,779,34907,213,7262,373,27645,425,24688,170,12008,450,12680,432,44773,1078,14.7,0.353292324294269,44410,1147,14.1,0.364415521960261,35924,772,32.6,0.692218456991297,110170,368,89183,1574,14.4,0.254304114404013,-72.6609250559808,44.0853991096012
47,01779803,51,VA,Virginia,102257717110,8528531774,8197642,2117,3969711,2254,262117,826,2156,388,259961,838,689929,1169,45186,1673,644743,1937,920019,2111,58469,1889,861550,2793,1563085,1897,179477,2737,1383608,3171,338131,644,83005,1656,255126,1793,196430,734,90451,1619,105979,1683,4227931,1962,247829,936,1512,309,246317,955,664766,1026,25544,1114,639222,1505,955585,1563,51986,1703,903599,2305,1690691,1396,193674,2944,1497017,3482,388335,640,84658,1680,303677,1819,280725,735,138102,1752,142623,1472,458744,4401,11.6,0.110670149542462,495476,4335,11.7,0.102388094147749,396216,3355,32.9,0.276175175752599,1203621,1380,954220,6177,11.6,0.0752909520357603,-78.8747539368959,37.5231892631893
48,01779804,53,WA,Washington,172112588220,12559278850,7187395,1428,3565128,1683,232133,441,1836,380,230297,587,602494,530,38431,1347,564063,1490,855090,1423,62286,1968,792804,2349,1393592,991,181649,2559,1211943,2759,307670,552,85151,1478,222519,1466,174149,497,87241,1159,86908,1193,3622267,1179,220875,405,1683,321,219192,491,575852,544,22493,1101,553359,1240,834789,906,51933,1847,782856,2053,1419152,785,181369,2877,1237783,3033,337817,517,80912,1367,256905,1455,233782,565,120433,1575,113349,1537,456594,3988,12.8,0.111697834577276,458823,4166,12.7,0.114936927334129,373737,2807,35.5,0.264031619871295,1053418,1067,915417,5767,12.7,0.0801977815016746,-120.43028570438,47.397180774417
49,01779805,54,WV,West Virginia,62266474513,489028543,1800270,221,885577,926,51051,396,371,132,50680,404,139632,508,13092,693,126540,897,187709,575,18964,832,168745,1060,354209,658,77661,1586,276548,1673,96383,362,36747,1011,59636,1058,56593,318,31790,778,24803,745,914693,906,48205,345,474,186,47731,394,133348,503,7132,569,126216,679,184123,602,14271,867,169852,1074,366082,788,75120,1687,290962,1747,104405,398,32779,965,71626,970,78530,378,43478,923,35052,923,178625,2309,20.2,0.259879513955952,173254,2396,18.9,0.261273085512875,144794,1847,43.1,0.541809739473769,335911,730,351879,3328,19.5,0.184845587037353,-80.6087400153847,38.6519367078775
50,01779806,55,WI,Wisconsin,140290039723,29344951758,5706206,338,2823433,1039,172146,362,1185,198,170961,428,486224,558,32799,1015,453425,1182,638177,831,41782,1324,596395,1572,1118838,882,129298,2161,989540,2418,252151,443,60030,1096,192121,1179,155897,416,69439,1144,86458,1152,2882773,1007,163774,416,1126,250,162648,440,465292,547,18728,950,446564,1134,629560,603,36362,1132,593198,1277,1134919,587,130754,2093,1004165,2151,269950,419,52259,1143,217691,1191,219278,543,98334,1392,120944,1451,334533,3163,11.8,0.111941860629289,337563,3142,11.7,0.108915498249049,280062,2399,31.2,0.265459269349052,897276,916,672096,4458,11.8,0.0781223502564083,-90.0210439383857,44.6652937790237
51,01779807,56,WY,Wyoming,251458544898,1867670745,571923,367,290180,959,19089,356,251,141,18838,387,51633,513,3052,445,48581,622,67831,672,5274,482,62557,667,110743,540,15588,930,95155,942,26214,188,8488,481,17726,488,14670,165,7361,406,7309,392,281743,827,18181,402,62,48,18119,407,48301,532,2060,308,46241,609,63209,490,3670,486,59539,753,107507,552,13504,692,94003,785,26158,200,6089,495,20069,506,18387,232,9032,462,9355,472,40014,1308,13.8,0.448445113210722,34417,1127,12.2,0.398399593647381,30970,924,36.3,1.06853249746973,85429,395,74431,1727,13,0.301848224317205,-107.55143503067,43.0321218585002
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,3361571,294,1594465,779,80711,288,895,225,79816,378,270304,227,33776,1243,236528,1311,367240,615,34698,1296,332542,1444,600391,574,140632,2391,459759,2409,161365,221,60072,1312,101293,1316,114454,439,65557,1193,48897,1201,1767106,754,76925,291,830,255,76095,382,259540,220,19131,1049,240409,1103,380686,315,29195,1443,351491,1454,692600,496,152005,2850,540595,2865,196995,135,74664,1322,122331,1335,160360,598,106889,1190,53471,1224,335630,3484,21,0.218263744057801,382714,3812,21.7,0.215521914807627,307182,2512,48.5,0.392133677917821,633174,786,718344,5164,21.4,0.153607281057626,-66.4785923809415,18.2250706456559
